operator_id,missed_calls,avg_waiting_time,avg_call_duration,outbound_calls,inbound_calls,internal_calls,total_calls_count,total_calls,missed_call_rate,outbound_activity,score_missed,score_wait,score_outbound,inefficiency_score
879896,46,53.65486725663717,224.23893805309734,90,23,16,438,113,0.40707964601769914,0.7964601769911505,0.40707964601769914,0.11613607631306747,0.20353982300884954,0.2747184231697506
879898,47,115.64661654135338,176.12781954887217,69,64,16,979,133,0.3533834586466165,0.518796992481203,0.3533834586466165,0.2503173518211112,0.48120300751879697,0.3364832535885167
880020,7,15.181818181818182,104.0909090909091,14,8,3,54,22,0.3181818181818182,0.6363636363636364,0.3181818181818182,0.03286107831562377,0.36363636363636365,0.22513774104683196
880022,32,52.73972602739726,184.68493150684932,65,8,8,203,73,0.4383561643835616,0.8904109589041096,0.4383561643835616,0.11415525114155252,0.1095890410958904,0.27557077625570775
880026,93,109.48447204968944,468.0621118012422,142,19,14,1498,161,0.577639751552795,0.8819875776397516,0.577639751552795,0.23697937673092953,0.11801242236024845,0.3894645209862601
880028,67,142.2574850299401,463.3832335329341,122,45,8,1544,167,0.40119760479041916,0.7305389221556886,0.40119760479041916,0.3079166342639396,0.2694610778443114,0.34878878606423513
880240,8,29.0,74.3076923076923,13,0,6,26,13,0.6153846153846154,1.0,0.6153846153846154,0.06277056277056277,0.0,0.3296620046620047
881278,7,9.75,58.125,8,0,3,20,8,0.875,1.0,0.875,0.021103896103896104,0.0,0.44488636363636364
882476,0,31.666666666666668,64.0,0,3,0,3,3,0.0,0.0,0.0,0.06854256854256854,1.0,0.17398989898989897
882478,1,27.666666666666668,22.666666666666668,1,2,2,4,3,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.05988455988455989,0.6666666666666667,0.2876262626262626
882680,3,37.108695652173914,136.91304347826087,0,46,2,109,46,0.06521739130434782,0.0,0.06521739130434782,0.0803218520609825,1.0,0.21072134387351776
882684,55,79.71774193548387,533.0967741935484,97,27,3,608,124,0.4435483870967742,0.782258064516129,0.4435483870967742,0.1725492249685798,0.217741935483871,0.31482771260997067
882686,68,93.58571428571429,412.75,100,40,7,774,140,0.4857142857142857,0.7142857142857143,0.4857142857142857,0.2025664811379097,0.2857142857142857,0.3566125541125541
882688,3,98.875,310.875,6,2,0,34,8,0.375,0.75,0.375,0.21401515151515152,0.25,0.299905303030303
